tweet_text,retweeted_from,retweeted_content,hashtags_contained,usernames_mentioned,combined,similarity_score
i fully support every american defense tech company building drones but deep down i secretly just want world peace where they all expand to selling the most incredible consumer drones imaginable,tbpn,we asked blakeresnick blakeresnick about market opportunities for us dronesdji is getting banned throughout the united statesthey have 95 of the market along with autel another chinese drone co and cant sell into 10 us statesthis is generating a significant need for show more 10 10 10 10 129 129 30k 30k,,tbpn blakeresnick,i fully support every american defense tech company building drones but deep down i secretly just want world peace where they all expand to selling the most incredible consumer drones imaginable tbpn we asked blakeresnick blakeresnick about market opportunities for us dronesdji is getting banned throughout the united statesthey have 95 of the market along with autel another chinese drone co and cant sell into 10 us statesthis is generating a significant need for show more 10 10 10 10 129 129 30k 30k  tbpn blakeresnick,0.0796861786610673
the companies that succeed wont just mandate ai usagetheyll rebuild their foundations around what ai makes possibleive built unicorns and i know transformation requires more than memos it requires courage to change everything,,,,,the companies that succeed wont just mandate ai usagetheyll rebuild their foundations around what ai makes possibleive built unicorns and i know transformation requires more than memos it requires courage to change everything    ,0.07945544186338850
i used to think storytelling was one of many elements of a businessthen you realize it is the thingand you can point fingers at people who can tell good stories but not build companies but then it wasnt a good storya good story inspires people to build the real thing,kevg1412,michael moritz on the importance of storytelling 55 55 66k 66k,,kevg1412,i used to think storytelling was one of many elements of a businessthen you realize it is the thingand you can point fingers at people who can tell good stories but not build companies but then it wasnt a good storya good story inspires people to build the real thing kevg1412 michael moritz on the importance of storytelling 55 55 66k 66k  kevg1412,0.07922277565558790
this also means that the people who know the product best can now own quality directly spur enables anyone to write tests in natural language whether its inhouse qa or engineering teams pms designers or ops folks,,,,,this also means that the people who know the product best can now own quality directly spur enables anyone to write tests in natural language whether its inhouse qa or engineering teams pms designers or ops folks    ,0.07900794093573940
its wild what people will do for attention  do it for kids do it for the stars do it for the future do it for the sake of raw beauty  but doing something just for attention,,,,,its wild what people will do for attention  do it for kids do it for the stars do it for the future do it for the sake of raw beauty  but doing something just for attention    ,0.07845827417618730
ai is going to become a new minimum for every stem graduate just like how exceloffice was expected for every graduate,,,,,ai is going to become a new minimum for every stem graduate just like how exceloffice was expected for every graduate    ,0.07774657081847530
most people are leaving real money on the table by using high yield savings accountseven though you may earn a yield of 34 today its fully taxed at both the federal and state levelheres what to do instead to get the best possible return on your cash,,,,,most people are leaving real money on the table by using high yield savings accountseven though you may earn a yield of 34 today its fully taxed at both the federal and state levelheres what to do instead to get the best possible return on your cash,0.07739255082838410
we dont talk enough about how many forms you have to fill out when raising kids constant forms releases checklists signatures theres a reason why litigious societies have fewer children people just get tired of filling out the forms,,,,,we dont talk enough about how many forms you have to fill out when raising kids constant forms releases checklists signatures theres a reason why litigious societies have fewer children people just get tired of filling out the forms    ,0.07738746001779380
we overthink everythingevery email i send to customers is written by agency nowwhen i try to improve what the ai writes i failwhen i just hit send even when it feels too basic i winpeople dont care about your perfect wordsthey just want to hear from you,eliast,,,eliast agency,we overthink everythingevery email i send to customers is written by agency nowwhen i try to improve what the ai writes i failwhen i just hit send even when it feels too basic i winpeople dont care about your perfect wordsthey just want to hear from you eliast   eliast agency,0.07721037996288390
feels like if you werent gonna have kids and then having 5k makes you decide to have kids you may not be the ideal person to be having kids,unusualwhales,breaking the trump administration has been mulling ways to get more americans married and having kids  including a 5000 baby bonus for every new mom after delivery per nyp 18 18 11 11 300 300 23k 23k,,unusualwhales,feels like if you werent gonna have kids and then having 5k makes you decide to have kids you may not be the ideal person to be having kids unusualwhales breaking the trump administration has been mulling ways to get more americans married and having kids  including a 5000 baby bonus for every new mom after delivery per nyp 18 18 11 11 300 300 23k 23k  unusualwhales,0.07610218193919470
john has crazy tenacity dude just refuses to give up until something works2020 120k total views2021 5m total views2022 17m total viewsi dont doubt that he and jordi will build the next big media company,johncoogan,048 five years ago i recorded my first youtube videotoday im going fulltime on tbpn tbpn my time at founders fund was incredibleheres 10000 hours in 48 seconds 180 180 29k 29k,,tbpn johncoogan,john has crazy tenacity dude just refuses to give up until something works2020 120k total views2021 5m total views2022 17m total viewsi dont doubt that he and jordi will build the next big media company johncoogan 048 five years ago i recorded my first youtube videotoday im going fulltime on tbpn tbpn my time at founders fund was incredibleheres 10000 hours in 48 seconds 180 180 29k 29k  tbpn johncoogan,0.07393624221363160
after thousands of hours in cursor ive found the perfect workflow for vibe coding with no errorsand no you dont need to know anything about codeheres everything you should do bookmark this1 do not tell it what to do,,,,,after thousands of hours in cursor ive found the perfect workflow for vibe coding with no errorsand no you dont need to know anything about codeheres everything you should do bookmark this1 do not tell it what to do,0.07361376166510720
ok one more good king henry hidden in the back they dont love it here but this one is a few years old good in salads,,,,,ok one more good king henry hidden in the back they dont love it here but this one is a few years old good in salads    ,0.07355691144313570
geoffrey hinton says the more we understand how ai and the brain actually work the less human thinking looks like logicwere not reasoning machines he says were analogy machines we think by resonance not deductionwere much less rational than we thought,,,,,geoffrey hinton says the more we understand how ai and the brain actually work the less human thinking looks like logicwere not reasoning machines he says were analogy machines we think by resonance not deductionwere much less rational than we thought    ,0.07343107314249220
when the risk is high well always want a human accountable giansegato explains why ai wont go fully autonomous in domains like defense and aviation  no matter how good it gets,techtodaypod,,,techtodaypod giansegato,when the risk is high well always want a human accountable giansegato explains why ai wont go fully autonomous in domains like defense and aviation  no matter how good it gets techtodaypod   techtodaypod giansegato,0.07342701264156980
til gold has outperformed the sp over 20 years,,,,,til gold has outperformed the sp over 20 years,0.07322729447911270
cursor is literally the best ai coding toolbut most ai projects break because of 3 core issues ai hallucinations loop of errors context awarenessheres the system i use to fix all 3its called the context boundary method,,,,,cursor is literally the best ai coding toolbut most ai projects break because of 3 core issues ai hallucinations loop of errors context awarenessheres the system i use to fix all 3its called the context boundary method,0.07296223700059150
you can it turns out just do things congrats evan,itsurboyevan,big personal news i walked away from my cushy writing job at every every to launch my own startup today  the leverage is my big swing starting a company while parenting a newborn feels a little insane but i couldnt keep this idea inside me anymore it has to exist  tech show more 13k 13k,,itsurboyevan every,you can it turns out just do things congrats evan itsurboyevan big personal news i walked away from my cushy writing job at every every to launch my own startup today  the leverage is my big swing starting a company while parenting a newborn feels a little insane but i couldnt keep this idea inside me anymore it has to exist  tech show more 13k 13k  itsurboyevan every,0.07271956217035010
talking to o3 is like talking to your friend who takes the time to pause before answering any question,amasad,o3 spends way too much time browsing the web 13k 13k,,amasad,talking to o3 is like talking to your friend who takes the time to pause before answering any question amasad o3 spends way too much time browsing the web 13k 13k  amasad,0.07218438220619380
last year i sat down with scottnolan to talk about the company he was incubating at founders fundtoday general matter a new uranium enrichment company officially launched12 years in the making and only just getting started,johncoogan,quote general matter general matter generalmatter 045 general matter is enriching uranium for the us we will revive nuclear fuel production in america we chose to do this not because its easy and not because its hard but because it needs doing nothing gets made if fuel isnt made americas ambitions from manufacturing to 21 21 42 42 542 542 136k 136k,,generalmatter johncoogan scottnolan,last year i sat down with scottnolan to talk about the company he was incubating at founders fundtoday general matter a new uranium enrichment company officially launched12 years in the making and only just getting started johncoogan quote general matter general matter generalmatter 045 general matter is enriching uranium for the us we will revive nuclear fuel production in america we chose to do this not because its easy and not because its hard but because it needs doing nothing gets made if fuel isnt made americas ambitions from manufacturing to 21 21 42 42 542 542 136k 136k  generalmatter johncoogan scottnolan,0.07121474790732920
sort of fundamentally should be true but increasingly vcs have become able to focus on incidental outcomes vs overall outcomes if i buy peloton at series a for 150m post and sell in ipo pop at 46b or in a preipo secondary round at 30b i dont actually care if it becomes,thogge,the vc asset class is built on a core assetenduring independent public technology companies with positive cash flowthe industry succeeds to the extent it helps create these assets and fails to the extent it does not show more 24k 24k,,thogge,sort of fundamentally should be true but increasingly vcs have become able to focus on incidental outcomes vs overall outcomes if i buy peloton at series a for 150m post and sell in ipo pop at 46b or in a preipo secondary round at 30b i dont actually care if it becomes thogge the vc asset class is built on a core assetenduring independent public technology companies with positive cash flowthe industry succeeds to the extent it helps create these assets and fails to the extent it does not show more 24k 24k  thogge,0.06999517856433350
42425  i sat down with hunter walk at homebrew for tech today to talk about his essay on the rise of secondary sales in vc and why buy and hold no longer works for seed funds what lps really want dpi how founders  vcs can do secondaries without stigma,kwharrison13,quote beezer clarkson beezer clarkson beezer232 i get asked on the daily now about selling secondaries given the current market and lack of liquidity huge to hunter walk homebrew homebrew for this blog and table on the logic underpinning why buy and hold is being replaced by buy and maybe sell httpshunterwalkcom20250421praiseourlordforsecondarymarketsbecausesellingsharesisnowanessentialpartofseedventurecapital https iseourlordforsecondarymarketsbecausesellingsharesisnowanessentialpartofseedventurecapital 21 21 38k 38k,,beezer232 homebrew kwharrison13,42425  i sat down with hunter walk at homebrew for tech today to talk about his essay on the rise of secondary sales in vc and why buy and hold no longer works for seed funds what lps really want dpi how founders  vcs can do secondaries without stigma kwharrison13 quote beezer clarkson beezer clarkson beezer232 i get asked on the daily now about selling secondaries given the current market and lack of liquidity huge to hunter walk homebrew homebrew for this blog and table on the logic underpinning why buy and hold is being replaced by buy and maybe sell httpshunterwalkcom20250421praiseourlordforsecondarymarketsbecausesellingsharesisnowanessentialpartofseedventurecapital https iseourlordforsecondarymarketsbecausesellingsharesisnowanessentialpartofseedventurecapital 21 21 38k 38k  beezer232 homebrew kwharrison13,0.0693122269923857
today in our family vacation in japanmy 70 year old indian father gets a tattoo in tokyolegend,,,,,today in our family vacation in japanmy 70 year old indian father gets a tattoo in tokyolegend,0.06930438937783780
i am twotime tbpn feature josh pacini you know when im going to sleep at night im not just a guy going to sleep im twotime tbpn feature josh pacini going to get some wellneeded shut eyeand when i dream i dont just dream any old dreams no sir i dream about being,joshpacini,,,tbpn joshpacini,i am twotime tbpn feature josh pacini you know when im going to sleep at night im not just a guy going to sleep im twotime tbpn feature josh pacini going to get some wellneeded shut eyeand when i dream i dont just dream any old dreams no sir i dream about being joshpacini   tbpn joshpacini,0.06896350870270960
heres a script i just shared with our sales team to help convert more people to tbpn listenersi normally am against building in public but were seeing such good results with this i had to share it bookmark thisprospective heard about tbpn live from some friends,johncoogan,,,tbpn johncoogan,heres a script i just shared with our sales team to help convert more people to tbpn listenersi normally am against building in public but were seeing such good results with this i had to share it bookmark thisprospective heard about tbpn live from some friends johncoogan   tbpn johncoogan,0.0685899698298522
5lead by exampleare you personally using ai every daycan you demonstrate how its changed your own workflowyour team needs to see you doing this not just talking about it,,,,,5lead by exampleare you personally using ai every daycan you demonstrate how its changed your own workflowyour team needs to see you doing this not just talking about it,0.06817469933236320
link here https sillymoneycomphowtounder standandnegotiateyourstartupequity  would love to know what yall think,ankurnagpal,standandnegotiateyourstartupequity would love to know what yall think how to understand and negotiate your startup equity 2k 2k,,ankurnagpal,link here https sillymoneycomphowtounder standandnegotiateyourstartupequity  would love to know what yall think ankurnagpal standandnegotiateyourstartupequity would love to know what yall think how to understand and negotiate your startup equity 2k 2k  ankurnagpal,0.06806679379281530
veo 2 is super fun to play with and people have been creating some amazing videos with it its implicit understanding of the physics of the world is kind of mindblowing looking forward to seeing more people enjoy it now that its part of geminiapp,demishassabis,quote google deepmind google deepmind googledeepmind you write the script veo 2 brings it to life starting today geminiapp geminiapp advanced users can create stunning 8second videos in 720p cinematic quality with just one text prompt show more 003 003 60 60 139 139 12k 12k 172k 172k,,geminiapp googledeepmind demishassabis,veo 2 is super fun to play with and people have been creating some amazing videos with it its implicit understanding of the physics of the world is kind of mindblowing looking forward to seeing more people enjoy it now that its part of geminiapp demishassabis quote google deepmind google deepmind googledeepmind you write the script veo 2 brings it to life starting today geminiapp geminiapp advanced users can create stunning 8second videos in 720p cinematic quality with just one text prompt show more 003 003 60 60 139 139 12k 12k 172k 172k  geminiapp googledeepmind demishassabis,0.06792244049535950
started a new job at cursorai after 25 years at figma were going to make cursor really great and also very reliable,jediahkatz,,,jediahkatz cursorai,started a new job at cursorai after 25 years at figma were going to make cursor really great and also very reliable jediahkatz   jediahkatz cursorai,0.06757766693220010
rl is not all you need nor attention nor bayesianism nor free energy minimisation nor an age of first person experience such statements are propagandayou need thousands of people working hard on data pipelines scaling infrastructure hpc apps with feedback to drive,,,,,rl is not all you need nor attention nor bayesianism nor free energy minimisation nor an age of first person experience such statements are propagandayou need thousands of people working hard on data pipelines scaling infrastructure hpc apps with feedback to drive    ,0.06750503767332900
what makes a16z stands out as one of the best vc firms in the worldwell stuffyokodraws  a partner in that firm just gave an amazing technical talk about mcp intercomeng meetup in sfpartners that code  everybody else,positiveblue2,,,stuffyokodraws intercomeng positiveblue2 a16z,what makes a16z stands out as one of the best vc firms in the worldwell stuffyokodraws  a partner in that firm just gave an amazing technical talk about mcp intercomeng meetup in sfpartners that code  everybody else positiveblue2   stuffyokodraws intercomeng positiveblue2 a16z,0.06689404199652780
start building with 25 flash on gemini api in google ai studio http aistudiogooglecom and vertex ai also available in the geminiapp,sundarpichai,and vertex ai also available in the geminiapp aistudiogooglecom aistudiogooglecom google ai studio google ai studio 10 10 14 14 163 163 44k 44k,,geminiapp sundarpichai,start building with 25 flash on gemini api in google ai studio http aistudiogooglecom and vertex ai also available in the geminiapp sundarpichai and vertex ai also available in the geminiapp aistudiogooglecom aistudiogooglecom google ai studio google ai studio 10 10 14 14 163 163 44k 44k  geminiapp sundarpichai,0.06682329534821670
42325  zachlloydtweets joins us to talk vibe coding the future of developer tools and why ai will not kill the software engineer how ides and git might go extinct what it looks like to manage a team of ai agents,techtodaypod,,,techtodaypod zachlloydtweets,42325  zachlloydtweets joins us to talk vibe coding the future of developer tools and why ai will not kill the software engineer how ides and git might go extinct what it looks like to manage a team of ai agents techtodaypod   techtodaypod zachlloydtweets,0.06673774643592250
clerk was founded in 2019 but stagnant until 2023 this is a hyperdetailed discussion of our founding and funding story i share what kept us going and tried to completely transparent about the hard early years pass reasons vc power dynamics and how we changed our pitch to,thepeelpod,9938 episode 88 surviving two seed extensions fixing auth for ai agents with colin  clerkcolin sidoti tweetsbycolin tweetsbycolin is the cofounder and ceo of clerkdev clerkdev  the best way to build authentication and user managementclerk has not been an easy journey and colin takes us inside 95 95 24k 24k,88,tweetsbycolin clerkdev thepeelpod,clerk was founded in 2019 but stagnant until 2023 this is a hyperdetailed discussion of our founding and funding story i share what kept us going and tried to completely transparent about the hard early years pass reasons vc power dynamics and how we changed our pitch to thepeelpod 9938 episode 88 surviving two seed extensions fixing auth for ai agents with colin  clerkcolin sidoti tweetsbycolin tweetsbycolin is the cofounder and ceo of clerkdev clerkdev  the best way to build authentication and user managementclerk has not been an easy journey and colin takes us inside 95 95 24k 24k 88 tweetsbycolin clerkdev thepeelpod,0.06668993858029230
xai hiring cracked engineers and designers btw,arisawyers,looking for top engineers and designers to join our team in london and palo alto share your best work and lets talk 32 32 14k 14k,,arisawyers,xai hiring cracked engineers and designers btw arisawyers looking for top engineers and designers to join our team in london and palo alto share your best work and lets talk 32 32 14k 14k  arisawyers,0.0663895917596657
thanks to all of the amazing creators like you marques who have made the first 20 years of youtube so incredible  cant wait for the next 20,sundarpichai,quote marques brownlee marques brownlee mkbhd fun facts  there are more than 20 billion videos on youtube  20 million videos get uploaded per day  100 million comments per day  35 billion video likes per day httpsblogyoutubenewsandeventshappybirthdayyoutube20 https shappybirthdayyoutube20 show more 27 27 96 96 28k 28k 148k 148k,,sundarpichai youtube mkbhd,thanks to all of the amazing creators like you marques who have made the first 20 years of youtube so incredible  cant wait for the next 20 sundarpichai quote marques brownlee marques brownlee mkbhd fun facts  there are more than 20 billion videos on youtube  20 million videos get uploaded per day  100 million comments per day  35 billion video likes per day httpsblogyoutubenewsandeventshappybirthdayyoutube20 https shappybirthdayyoutube20 show more 27 27 96 96 28k 28k 148k 148k  sundarpichai youtube mkbhd,0.0659403905475143
honestly if your not using convexdev for your backend idk what your doing tbh the best baas product and not even close works super seamlessly with vibe coding handles all the complexity dont believe me check out their new chef product or just listen to theo,housewithbricks,,,convexdev housewithbricks theo,honestly if your not using convexdev for your backend idk what your doing tbh the best baas product and not even close works super seamlessly with vibe coding handles all the complexity dont believe me check out their new chef product or just listen to theo housewithbricks   convexdev housewithbricks theo,0.06485173172687540
you can just do thingsbut for real  many founders hear this kind of advice that n2d4wastaken is describing and immediately put it in the too hard bucket few founders actually have the runthroughwalls mentality konsti  his team have kudos to them,lizwessel,quote konsti wohlwend konsti wohlwend n2d4wastaken julianjneuss julianjneuss probably when we were struggling to get user interviews so we went to lizwessel lizwessel for help she didnt give us the specific plan we asked for  she merely told us it would be possible to get 8 user interviews within the next 24 hours if we really try at first we didnt show more 21 21 26k 26k,,lizwessel n2d4wastaken julianjneuss,you can just do thingsbut for real  many founders hear this kind of advice that n2d4wastaken is describing and immediately put it in the too hard bucket few founders actually have the runthroughwalls mentality konsti  his team have kudos to them lizwessel quote konsti wohlwend konsti wohlwend n2d4wastaken julianjneuss julianjneuss probably when we were struggling to get user interviews so we went to lizwessel lizwessel for help she didnt give us the specific plan we asked for  she merely told us it would be possible to get 8 user interviews within the next 24 hours if we really try at first we didnt show more 21 21 26k 26k  lizwessel n2d4wastaken julianjneuss,0.06480008809619040
you keep using that word arr i do not think it means what you think it means,,,,,you keep using that word arr i do not think it means what you think it means    ,0.06436693551507650
tough feedback is hard never gets easierive built  sold companies but i still hearwhy arent you growing like cursor how many customers paid this month why arent you in the nyt morethats all noisethe customer matters moreheads down building what,,,,,tough feedback is hard never gets easierive built  sold companies but i still hearwhy arent you growing like cursor how many customers paid this month why arent you in the nyt morethats all noisethe customer matters moreheads down building what    ,0.06401213175500310
if coogan does the eyebrow while describing your business model congratulations youre gonna have a decacorn,johncoogan,048 five years ago i recorded my first youtube videotoday im going fulltime on tbpn tbpn my time at founders fund was incredibleheres 10000 hours in 48 seconds 11 11 256 256 40k 40k,,tbpn johncoogan,if coogan does the eyebrow while describing your business model congratulations youre gonna have a decacorn johncoogan 048 five years ago i recorded my first youtube videotoday im going fulltime on tbpn tbpn my time at founders fund was incredibleheres 10000 hours in 48 seconds 11 11 256 256 40k 40k  tbpn johncoogan,0.06395841813850540
news anthropics ciso told axios they will start rolling out ai employees by 2026 ai employees will be far beyond current singletask agents but the industry needs to move fast on new safeguards before these ai workers go liveaccelerate,,,,,news anthropics ciso told axios they will start rolling out ai employees by 2026 ai employees will be far beyond current singletask agents but the industry needs to move fast on new safeguards before these ai workers go liveaccelerate,0.06337773797172780
when schools dont allow for parents to opt out in small ways they opt out in big ways parents are now opting out en masse its never been easier to opt out and the social cost is relatively low,asymmetricinfo,the lawyer for montgomery county lawyer trying to explain why its impossible to do an opt out sounds like those people in infomercials who find ordinary everyday activities like peeling a hardboiled egg to be impossible feats of skill and dexterity show more 137 137 22k 22k,,asymmetricinfo,when schools dont allow for parents to opt out in small ways they opt out in big ways parents are now opting out en masse its never been easier to opt out and the social cost is relatively low asymmetricinfo the lawyer for montgomery county lawyer trying to explain why its impossible to do an opt out sounds like those people in infomercials who find ordinary everyday activities like peeling a hardboiled egg to be impossible feats of skill and dexterity show more 137 137 22k 22k  asymmetricinfo,0.06329533588079350
eric has been a great supporter of so many founders and companies  nice to see him bringing more stories to the world,etarczynski,im launching tech today a daily show on the most important stories in tech 10 minutes per day 5 days per week guests like typesfast typesfast eglyman eglyman alexrkonrad alexrkonrad zebulgar zebulgar johnarnoldfndtn johnarnoldfndtn check it out and subscribe below or via techtodaypod techtodaypod daily episodes start show more 21 21 35k 35k,,typesfast alexrkonrad etarczynski techtodaypod johnarnoldfndtn eglyman zebulgar,eric has been a great supporter of so many founders and companies  nice to see him bringing more stories to the world etarczynski im launching tech today a daily show on the most important stories in tech 10 minutes per day 5 days per week guests like typesfast typesfast eglyman eglyman alexrkonrad alexrkonrad zebulgar zebulgar johnarnoldfndtn johnarnoldfndtn check it out and subscribe below or via techtodaypod techtodaypod daily episodes start show more 21 21 35k 35k  typesfast alexrkonrad etarczynski techtodaypod johnarnoldfndtn eglyman zebulgar,0.06322260162705810
42225  giansegato on tech today to talk about his piratewires essay on the rise of highagency builders  ai as a tool for individual scale why ai agents arent truly agentic psychological traits that underlie real agency the end of credentialism and the rise of,kwharrison13,show more quote pirate wires pirate wires piratewires new replit founding data scientist and engineer giansegato giansegato  ive begun to see product managers developing business financial models designers writing commercial ads barbershops building custom booking systems and restaurant owners creating advanced pricing tools these 23 23 10k 10k,,kwharrison13 piratewires giansegato,42225  giansegato on tech today to talk about his piratewires essay on the rise of highagency builders  ai as a tool for individual scale why ai agents arent truly agentic psychological traits that underlie real agency the end of credentialism and the rise of kwharrison13 show more quote pirate wires pirate wires piratewires new replit founding data scientist and engineer giansegato giansegato  ive begun to see product managers developing business financial models designers writing commercial ads barbershops building custom booking systems and restaurant owners creating advanced pricing tools these 23 23 10k 10k  kwharrison13 piratewires giansegato,0.06314684391972690
pg daily getting cooked by mic solona is crazy lmaoo,micsolana,the first thing i ask myself when an influential billionaire denounces a company for protecting the american border and attempts to shame young people working on the problem is does this man currently live in a castle in england generally i find the answer telling show more 41 41 27k 27k,,micsolana,pg daily getting cooked by mic solona is crazy lmaoo micsolana the first thing i ask myself when an influential billionaire denounces a company for protecting the american border and attempts to shame young people working on the problem is does this man currently live in a castle in england generally i find the answer telling show more 41 41 27k 27k  micsolana,0.06273849163563250
